id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/802562	10.2307/802562	Editorial: Thoroughness in Literature		The English Journal	13	4	1924-04-01T00:00:00Z	p. 286	National Council of Teachers of English	fla			
10.2307/802952	10.2307/802952	Purposefulness and Co-operation	Charles Robert Gaston	The English Journal	10	1	1921-01-01T00:00:00Z	pp. 28-34	National Council of Teachers of English	fla			
10.2307/802591	10.2307/802591	Increasing Satisfactory Production in Composition	R. R. Smith	The English Journal	14	6	1925-06-01T00:00:00Z	pp. 466-474	National Council of Teachers of English	fla			
10.2307/801925	10.2307/801925	Overture to Othello	Charles Ballard	The English Journal	12	8	1923-10-01T00:00:00Z	p. 544	National Council of Teachers of English	fla			
10.2307/802009	10.2307/802009	An American Life of Shakespeare	Paul Kaufman	The English Journal	13	10	1924-12-01T00:00:00Z	p. 756	National Council of Teachers of English	brv	A Life of William Shakespeare|J. Q. Adams		
10.2307/802905	10.2307/802905	Knowing Each Other Better	Ruth Evelyn Henderson	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 797-801	National Council of Teachers of English	fla			
10.2307/801957	10.2307/801957	Shakespeare for Beginners	Richard R. Kirk	The English Journal	12	3	1923-03-01T00:00:00Z	pp. 168-172	National Council of Teachers of English	fla			
10.2307/802753	10.2307/802753	Front Matter		The English Journal	11	7	1922-09-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802694	10.2307/802694	George Eliot's Philosophy of Sin	Mabel Claire Wade	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 269-277	National Council of Teachers of English	fla			
10.2307/802693	10.2307/802693	Modern English Novelists: Arnold Bennett	J. B. Priestley	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 261-268	National Council of Teachers of English	fla			
10.2307/802013	10.2307/802013	Front Matter		The English Journal	14	9	1925-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802124	10.2307/802124	Projects for Business English Composition	Lucille Crighton	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 219-222	National Council of Teachers of English	fla			
10.2307/802877	10.2307/802877	Poetic Appreciation through the Writing of Verse	Florence Williams	The English Journal	13	6	1924-06-01T00:00:00Z	pp. 380-388	National Council of Teachers of English	fla			
10.2307/802470	10.2307/802470	Symbolism	Haydn S. Pearson	The English Journal	14	1	1925-01-01T00:00:00Z	p. 12	National Council of Teachers of English	fla			
10.2307/802733	10.2307/802733	Our Bookish Neglect of Speech	Charles H. Woolbert	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 666-668	National Council of Teachers of English	fla			
10.2307/802959	10.2307/802959	The Writing of Poetry	H. T. J. Coleman	The English Journal	10	2	1921-02-01T00:00:00Z	pp. 80-84	National Council of Teachers of English	fla			
