id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract	mystery
10.2307/801567	10.2307/801567	The Most Valuable Phase of My High-School Training in English: A Symposium	Charles B. Goddard	The English Journal	2	6	1913-06-01T00:00:00Z	pp. 380-386	National Council of Teachers of English	fla			
10.2307/801131	10.2307/801131	The Book of Selections: Its Value in Teaching High-School Literature	Walter Barnes	The English Journal	8	4	1919-04-01T00:00:00Z	pp. 248-253	National Council of Teachers of English	fla			
10.2307/802440	10.2307/802440	Business English or English in Business?	Luella B. Cook	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 80-87	National Council of Teachers of English	fla			
10.2307/802184	10.2307/802184	A Short-Story Reading List	Raymond W. Pence	The English Journal	9	5	1920-05-01T00:00:00Z	pp. 270-283	National Council of Teachers of English	fla			
10.2307/801557	10.2307/801557	Final Report of the Committee on English in the Normal School: A Committee of the National Council of Teachers of English	Walter Barnes, Herbert E. Fowler, Lydia Jones, C. R. Rounds, Florence Skeffington, Elizabeth Tait, W. H. Wilcox	The English Journal	7	1	1918-01-01T00:00:00Z	pp. 29-38	National Council of Teachers of English	fla			
10.2307/801428	10.2307/801428	"What Do You Make of This?"		The English Journal	8	6	1919-06-01T00:00:00Z	pp. 379-380	National Council of Teachers of English	fla			
10.2307/801524	10.2307/801524	A Plea for Local Literature	A. E. Minard	The English Journal	2	10	1913-12-01T00:00:00Z	pp. 661-662	National Council of Teachers of English	fla			
10.2307/802158	10.2307/802158	Editorial: Speaking of Platforms		The English Journal	9	7	1920-09-01T00:00:00Z	pp. 420-421	National Council of Teachers of English	fla			
10.2307/801835	10.2307/801835	An A-Z (Aisy) Method for Marking Themes	Edwin L. Miller	The English Journal	1	10	1912-12-01T00:00:00Z	pp. 646-647	National Council of Teachers of English	fla			
10.2307/801390	10.2307/801390	English Entrance Requirements at the University of Nevada	Herbert Wynford Hill	The English Journal	1	4	1912-04-01T00:00:00Z	pp. 240-241	National Council of Teachers of English	fla			
10.2307/801352	10.2307/801352	The History of English Literature: What It Is and What It Is Not	Louise Pound	The English Journal	7	7	1918-09-01T00:00:00Z	pp. 413-418	National Council of Teachers of English	fla			
10.2307/801393	10.2307/801393		Elvira D. Cabell	The English Journal	1	4	1912-04-01T00:00:00Z	pp. 251-255	National Council of Teachers of English	brv	The Children's Educational Theatre|Alice Minnie Herts		
10.2307/801426	10.2307/801426	The Making of a Modern Minnesinger	Mrs. Bertha Forbes Herring	The English Journal	8	6	1919-06-01T00:00:00Z	pp. 363-373	National Council of Teachers of English	fla			
10.2307/801394	10.2307/801394	Book Notices		The English Journal	1	4	1912-04-01T00:00:00Z	pp. 255-256	National Council of Teachers of English	mis			
10.2307/801172	10.2307/801172	Back Matter		The English Journal	6	1	1917-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801670	10.2307/801670	What Do You Make of This?	Harold W. Hawk	The English Journal	8	1	1919-01-01T00:00:00Z	pp. 42-45	National Council of Teachers of English	fla			
